"@timestamp",stream,message
"2022-03-04 13:01:04.183",stdout,"in use bytes     =       4496
"
"2022-03-04 13:01:04.183",stdout,"Arena 9:
"
"2022-03-04 13:01:04.183",stdout,"Arena 10:
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =     135168
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =      10592
"
"2022-03-04 13:01:04.183",stdout,"Arena 5:
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =  201285632
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =       4800
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =       2864
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =     143360
"
"2022-03-04 13:01:04.183",stdout,"Arena 4:
"
"2022-03-04 13:01:04.183",stdout,"Arena 13:
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =       5504
"
"2022-03-04 13:01:04.183",stdout,"Arena 2:
"
"2022-03-04 13:01:04.183",stdout,"Arena 3:
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =       2240
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =     139264
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =     135168
"
"2022-03-04 13:01:04.183",stdout,"Arena 7:
"
"2022-03-04 13:01:04.183",stdout,"Arena 11:
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =   64585728
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =     802816
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =     135168
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =     237568
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =       4096
"
"2022-03-04 13:01:04.183",stdout,"Arena 6:
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =     236304
"
"2022-03-04 13:01:04.183",stdout,"Arena 0:
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =     139264
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =     135168
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =       3744
"
"2022-03-04 13:01:04.183",stdout,"Arena 8:
"
"2022-03-04 13:01:04.183",stdout,"Arena 12:
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =   54816016
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =     135168
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =     143360
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =       3568
"
"2022-03-04 13:01:04.183",stdout,"Arena 1:
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =   47634576
"
"2022-03-04 13:01:04.183",stdout,"system bytes     =  302104576
"
"2022-03-04 13:01:04.184",stdout,"in use bytes     =   70593776
"
"2022-03-04 13:01:04.184",stdout,"+--------------+--------------------------------+
"
"2022-03-04 13:01:04.184",stdout,"| command      | result                         |
"
"2022-03-04 13:01:04.184",stdout,"system bytes     =  201318400
"
"2022-03-04 13:01:04.184",stdout,"max mmap bytes   = 5759631360
"
"2022-03-04 13:01:04.184",stdout,"max mmap regions =         24
"
"2022-03-04 13:01:04.184",stdout,"+--------------+--------------------------------+
"
"2022-03-04 13:01:04.184",stdout,"in use bytes     = 4272803728
"
"2022-03-04 13:01:04.184",stdout,"+--------------+--------------------------------+
"
"2022-03-04 13:01:04.184",stdout,"in use bytes     =  157668800
"
"2022-03-04 13:01:04.184",stdout,"Arena 15:
"
"2022-03-04 13:01:04.184",stdout,"system bytes     =  714883072
"
"2022-03-04 13:01:04.184",stdout,"Total (incl. mmap):
"
"2022-03-04 13:01:04.184",stdout,"system bytes     =  326647808
"
"2022-03-04 13:01:04.184",stdout,"Arena 14:
"
"2022-03-04 13:01:04.184",stdout,"| malloc_stats | /var/log/manticore/searchd.log |
"
